surface,lang,bm_marker,role
dans,fr,la,locative
en,fr,la,locative
à,fr,la,locative
au,fr,la,locative
aux,fr,la,locative
chez,fr,fɛ,associative
vers,fr,fɛ,direction
près,fr,fɛ,associative
entre,fr,ni,comitative
sur,fr,kan,surface
sous,fr,kɔrɔ,under
pendant,fr,la,locative
durant,fr,la,locative
pour,fr,ye,benefactive
in,en,la,locative
at,en,la,locative
on,en,kan,surface
under,en,kɔrɔ,under
during,en,la,locative
inside,en,la,locative
within,en,la,locative
near,en,fɛ,associative
beside,en,fɛ,associative
between,en,ni,comitative
toward,en,fɛ,direction
for,en,ye,benefactive
to,en,la,locative
par,fr,fɛ,agent
