surface,lang,bm,role
je,fr,n,subject
moi,fr,n,subject
tu,fr,i,subject
toi,fr,i,subject
il,fr,a,subject
elle,fr,a,subject
on,fr,a,subject
nous,fr,an,subject
vous,fr,aw,subject
ils,fr,u,subject
elles,fr,u,subject
ce,fr,o,subject
cela,fr,o,subject
ça,fr,o,subject
ceci,fr,o,subject
celui,fr,o,subject
celle,fr,o,subject
me,fr,n,object
m,fr,n,object
te,fr,i,object
t,fr,i,object
lui,fr,a,object
leur,fr,u,object
mon,fr,n,possessive
ma,fr,n,possessive
ton,fr,i,possessive
ta,fr,i,possessive
son,fr,a,possessive
sa,fr,a,possessive
notre,fr,an,possessive
votre,fr,aw,possessive
i,en,n,subject
you,en,i,subject
he,en,a,subject
she,en,a,subject
it,en,a,subject
we,en,an,subject
they,en,u,subject
this,en,o,subject
that,en,o,subject
me,en,n,object
him,en,a,object
her,en,a,object
us,en,an,object
them,en,u,object
my,en,n,possessive
your,en,i,possessive
his,en,a,possessive
our,en,an,possessive
their,en,u,possessive
